SISAIRE;;;;;;;;;;;;;;;;;
SABANA DE INFORMACIÓN DE SISAIRE;;;;;;;;;;;;;;;;;
Fecha de procesamiento :23/05/2026, 11:09:37 AM;;;;;;;;;;;;;;;;;
SECCION CONSULTA DE MEDICIONES;;;;;;;;;;;;;;;;;
REPORTE GENERADO ENTRE 2014-01-01 - 2026-03-31;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Estacion;Fecha inicial;Fecha final;PM2.5;;;;;;;;;;;;;;
KENNEDY;2025-09-12;;11.69583333;;;;;;;;;;;;;;
KENNEDY;2025-09-11;;13.13333333;;;;;;;;;;;;;;
KENNEDY;2025-09-10;;11.42916667;;;;;;;;;;;;;;
KENNEDY;2025-09-09;;15.0375;;;;;;;;;;;;;;
KENNEDY;2025-09-08;;7.925;;;;;;;;;;;;;;
KENNEDY;2025-09-07;;10.6125;;;;;;;;;;;;;;
KENNEDY;2025-09-06;;11.5625;;;;;;;;;;;;;;
KENNEDY;2025-09-05;;13.04166667;;;;;;;;;;;;;;
KENNEDY;2025-09-04;;12.325;;;;;;;;;;;;;;
KENNEDY;2025-09-03;;20.1375;;;;;;;;;;;;;;
KENNEDY;2025-09-02;;9.66666667;;;;;;;;;;;;;;
KENNEDY;2025-09-01;;9.89130435;;;;;;;;;;;;;;
KENNEDY;2025-08-31;;14.5826087;;;;;;;;;;;;;;
KENNEDY;2025-08-30;;25.35833333;;;;;;;;;;;;;;
KENNEDY;2025-08-29;;20.1625;;;;;;;;;;;;;;
KENNEDY;2025-08-28;;6.56521739;;;;;;;;;;;;;;
KENNEDY;2025-08-27;;7.15833333;;;;;;;;;;;;;;
KENNEDY;2025-08-26;;12.11363636;;;;;;;;;;;;;;
KENNEDY;2025-08-25;;6.6875;;;;;;;;;;;;;;
KENNEDY;2025-08-24;;11.8826087;;;;;;;;;;;;;;
KENNEDY;2025-08-23;;13.07916667;;;;;;;;;;;;;;
KENNEDY;2025-08-22;;17.64166667;;;;;;;;;;;;;;
KENNEDY;2025-08-21;;16.27727273;;;;;;;;;;;;;;
KENNEDY;2025-08-20;;17.5375;;;;;;;;;;;;;;
KENNEDY;2025-08-19;;14.9875;;;;;;;;;;;;;;
KENNEDY;2025-08-18;;8.33333333;;;;;;;;;;;;;;
KENNEDY;2025-08-17;;13.725;;;;;;;;;;;;;;
KENNEDY;2025-08-16;;12.90833333;;;;;;;;;;;;;;
KENNEDY;2025-08-15;;11.45;;;;;;;;;;;;;;
KENNEDY;2025-08-14;;14.42083333;;;;;;;;;;;;;;
KENNEDY;2025-08-13;;20.025;;;;;;;;;;;;;;
KENNEDY;2025-08-12;;10.66818182;;;;;;;;;;;;;;
KENNEDY;2025-08-11;;6.20833333;;;;;;;;;;;;;;
KENNEDY;2025-08-10;;8.67391304;;;;;;;;;;;;;;
KENNEDY;2025-08-09;;12.7375;;;;;;;;;;;;;;
KENNEDY;2025-08-08;;22.49583333;;;;;;;;;;;;;;
KENNEDY;2025-08-07;;15.04166667;;;;;;;;;;;;;;
KENNEDY;2025-08-06;;15.475;;;;;;;;;;;;;;
KENNEDY;2025-08-05;;11.84166667;;;;;;;;;;;;;;
KENNEDY;2025-08-04;;5.675;;;;;;;;;;;;;;
KENNEDY;2025-08-03;;6.38333333;;;;;;;;;;;;;;
KENNEDY;2025-08-02;;10.88333333;;;;;;;;;;;;;;
KENNEDY;2025-08-01;;14.29583333;;;;;;;;;;;;;;
KENNEDY;2025-07-31;;19.4;;;;;;;;;;;;;;
KENNEDY;2025-07-30;;10.41666667;;;;;;;;;;;;;;
KENNEDY;2025-07-29;;10.55;;;;;;;;;;;;;;
